Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5DTjY81sxyU3o2zVb5CFpR,"Roadrunner","Roadrunner","Kwam.E;NARU",2019-09-06,196547,53,true,gemuetlichkeit,2025-12-20T13:04:16Z,"german hip hop","Frantzis & Sagra GmbH",0.822,0.758,1,-7.768,1,0.243,0.124,0,0.0833,0.81,157.968,4
spotify:track:7lYorqB6RXl8xNaLCTO4TL,"Waffenfreiezone","Stress aufm Kiez","Nate57",2010-06-25,259306,41,true,gemuetlichkeit,2025-12-20T13:09:55Z,"german hip hop","Rattos Locos",0.733,0.914,11,-5.473,1,0.0956,0.48,0,0.306,0.714,97.979,4
spotify:track:2SrUsLBhQdVkaWICywYZRm,"MA und O","Das Beste vom Alphabet","OMA;eqt",2025-12-12,185097,18,true,gemuetlichkeit,2025-12-20T13:49:26Z,"","recordJet",0.56,0.55,2,-10.578,1,0.433,0.567,0,0.227,0.382,92.363,4
spotify:track:1pQUYh5NsDfCgXhXpsvpyi,"Besser als 50 Cent","Hitman","Veysel",2017-11-03,175973,58,true,gemuetlichkeit,2025-12-22T16:47:06Z,"german hip hop","Bela Boyz",0.499,0.733,3,-6.27,0,0.325,0.0472,0,0.119,0.305,93.931,4
spotify:track:4CGkQ2Vl5pW7SGWaan6R2p,"Jäger","Banditorinho","Luciano",2017-03-31,201626,53,true,gemuetlichkeit,2025-12-22T16:50:10Z,"german hip hop","Streetlife Records",0.781,0.664,1,-7.085,1,0.264,0.0398,0,0.0927,0.372,141.809,4
spotify:track:5VJPGIQIP5ZmhsqC9Q3koN,"Plattenbauromantik","Plattenbauromantik","Plusmacher;FiNCH;The BREED",2018-09-07,184682,33,true,gemuetlichkeit,2025-12-22T16:51:22Z,"german hip hop,schlagerparty,lo-fi beats,jazz beats,jazz rap,lo-fi","recordJet",0.557,0.638,6,-7.604,0,0.376,0.107,0,0.0394,0.552,67.148,5
spotify:track:0LPRq5I35z8FoqYo84xn48,"Vor der Tür","Gzuz","Gzuz",2020-02-13,171020,49,true,gemuetlichkeit,2025-12-22T16:51:46Z,"german hip hop","187 Strassenbande",0.864,0.718,4,-6.021,0,0.194,0.0103,0.0033,0.104,0.173,100.972,4
spotify:track:5IsQbIEzCY1PGgc3aXpoih,"Schwör Ma","MNMGT2","Greeny;OG Keemo",2020-02-21,168000,11,true,gemuetlichkeit,2025-12-22T16:52:20Z,"german hip hop","Broke Boys",0.886,0.597,1,-7.467,1,0.171,0.0483,0,0.0799,0.363,128.012,4
spotify:track:0bpDmYXHDZ4aDVQTNnltQU,"4L","4L","Ansu;Cato",2025-10-23,128906,42,true,gemuetlichkeit,2025-12-22T16:53:37Z,"german hip hop,german indie,german indie pop","Ansu",0.729,0.86,4,-4.535,0,0.341,0.528,0.000557,0.221,0.483,139.917,4
spotify:track:4gowaqrA2Jf49NqZQu9GXr,"Mehr davon","Mehr davon","LOKO BEN",2020-02-28,151846,38,true,gemuetlichkeit,2025-12-22T16:56:47Z,"german hip hop","igroovemusic.com",0.777,0.557,1,-7.909,1,0.46,0.402,0,0.0934,0.348,98.027,4
